activation,round,batch_size,seed,secret_index,true_label,pred_label,label_ok,mse,ssim
Sigmoid,1,1,0,7,3,3,1,1.5558406403215486e-06,0.9998851583516302
Sigmoid,1,1,1,7,3,3,1,5.756339760409901e-07,0.9999112595211376
Sigmoid,1,1,2,7,3,3,1,1.995473212446086e-06,0.9998472069413209
Sigmoid,1,1,0,13,6,6,1,3.383400439815887e-07,0.9999345472036314
Sigmoid,1,1,1,13,6,6,1,2.2291398238394322e-07,0.9999527567920606
Sigmoid,1,1,2,13,6,6,1,3.16153574431155e-07,0.9999274208772281
Sigmoid,1,1,0,25,2,2,1,1.029398049468e-06,0.9999915174216278
Sigmoid,1,1,1,25,2,2,1,3.970028501498746e-07,0.9999950273224145
Sigmoid,1,1,2,25,2,2,1,1.815642121982819e-06,0.9999871483026457
ReLU,1,1,0,7,3,0,0,0.5938776135444641,-0.029796600480700347
ReLU,1,1,1,7,3,0,0,0.3532848656177521,-0.05702413034788472
ReLU,1,1,2,7,3,3,1,0.00562294153496623,0.8642172803294129
ReLU,1,1,0,13,6,6,1,0.013339083641767502,0.7313115174294866
ReLU,1,1,1,13,6,6,1,0.011385924182832241,0.7147435568139454
ReLU,1,1,2,13,6,6,1,0.000387658947147429,0.9563493073479203
ReLU,1,1,0,25,2,2,1,0.0036615878343582153,0.9514916113246817
ReLU,1,1,1,25,2,2,1,0.003910750150680542,0.9336179208726245
ReLU,1,1,2,25,2,2,1,0.04835229367017746,0.8279264333142229
