sigma,round,batch_size,activation,seed,secret_index,true_label,pred_label,label_ok,mse,ssim,utility_loss,utility_acc
0.0,1,1,Sigmoid,0,7,3,3,1,1.5266143083572388,0.005515934902483542,1.1841638088226318,1.0
0.0,1,1,Sigmoid,0,13,6,3,0,1484.0953369140625,-3.503036673312698e-05,1.3282145261764526,1.0
0.0,1,1,Sigmoid,0,25,2,2,1,1135.0966796875,-7.75293748618363e-05,1.1836614608764648,1.0
0.001,1,1,Sigmoid,0,7,3,3,1,0.5984070301055908,0.16809444139767366,1.1844120025634766,1.0
0.001,1,1,Sigmoid,0,13,6,3,0,1906.40625,5.5528824912925614e-05,1.3279569149017334,1.0
0.001,1,1,Sigmoid,0,25,2,2,1,1226.05322265625,-3.542104526891543e-05,1.1830637454986572,1.0
0.01,1,1,Sigmoid,0,7,3,9,0,5244.31494140625,-1.4064419725923107e-05,1.1867237091064453,1.0
0.01,1,1,Sigmoid,0,13,6,3,0,48246.68359375,-1.5863221711287885e-07,1.3256887197494507,1.0
0.01,1,1,Sigmoid,0,25,2,2,1,1110.7191162109375,-4.983763121000014e-05,1.1777077913284302,1.0
0.1,1,1,Sigmoid,0,7,3,9,0,25.060945510864258,0.0026470438462521404,1.2175519466400146,1.0
0.1,1,1,Sigmoid,0,13,6,7,0,1460.9244384765625,-2.334384283780284e-05,1.3079392910003662,1.0
0.1,1,1,Sigmoid,0,25,2,2,1,1146.47314453125,-2.0869071519186172e-05,1.1262184381484985,1.0
1.0,1,1,Sigmoid,0,7,3,7,0,51962756.0,1.3174209176952405e-08,2.322805404663086,0.0
1.0,1,1,Sigmoid,0,13,6,7,0,6600826880.0,-7.739134451190411e-11,1.6669268608093262,0.0
1.0,1,1,Sigmoid,0,25,2,3,0,3.849781050867712e+16,-1.328666097293052e-17,0.8298721313476562,1.0
