secret_index,round,mse_mean,mse_std,ssim_mean,ssim_std,label_acc
7,1,1.2776247672263708e-06,6.656634383656439e-07,0.9998943495602648,4.002263008050867e-05,100.0
7,5,2.532696908019716e-06,1.5347267072907346e-06,0.9997860848903656,0.00010065119077971049,100.0
7,10,4.561077503240085e-06,1.0734025325222052e-06,0.9995994825501088,0.00015646960593879288,100.0
7,20,7.852340559111326e-06,4.991607105762257e-06,0.9993440040133216,0.0002927780440951219,100.0
7,50,33312.97774064841,74490.07510068205,0.7550803713692502,0.42236062581452716,80.0
13,1,4.1927146128273306e-07,2.0386647595597667e-07,0.9999209133061495,3.16934053531303e-05,100.0
13,5,112663.11250887031,251922.3781017476,0.7977142677803186,0.4459412720606447,100.0
13,10,5.830492364111706e-06,3.4152330776608673e-06,0.9994872278664723,0.00011461079761555985,100.0
13,20,814119219.2000067,1820425915.9202483,0.7992208209761114,0.44677810227630343,100.0
13,50,0.026455531548708677,0.031844135288289575,0.7856719090989099,0.09378178947788143,100.0
25,1,1.1802060498666832e-06,5.618512534573848e-07,0.9999901232148005,3.7428030962965613e-06,100.0
25,5,1.7262246728932951e-06,3.47148878899082e-07,0.9999682230397688,1.7807235827382627e-05,100.0
25,10,7.2489551712351386e-06,5.210172242823842e-06,0.9999322766114858,4.790307267823811e-05,100.0
25,20,8.34712650430447e-06,6.807576356463171e-06,0.9999288075718997,2.4325091973173908e-05,100.0
25,50,7415.661467433473,16581.921658098006,0.7963716847670532,0.44519478147823766,100.0
