round,seed,true_label,pred_label,label_ok,mse,ssim
1,0,3,3,1,1.5558406403215486e-06,0.9998851583516302
1,1,3,3,1,5.756339760409901e-07,0.9999112595211376
1,2,3,3,1,1.995473212446086e-06,0.9998472069413209
1,3,3,3,1,1.6979018937490764e-06,0.9998750918167681
1,4,3,3,1,5.632741135741526e-07,0.9999530311704667
5,0,3,3,1,3.1236484119290253e-06,0.9997439309338892
5,1,3,3,1,1.2580268275996787e-06,0.9998507986137689
5,2,3,3,1,4.909042672807118e-06,0.9996538515672211
5,3,3,3,1,1.25741701140214e-06,0.999915279017007
5,4,3,3,1,2.115349616360618e-06,0.9997665643199416
10,0,3,3,1,3.761736707019736e-06,0.9996939090904126
10,1,3,3,1,3.7152226468606386e-06,0.9996248853108114
10,2,3,3,1,6.335655143629992e-06,0.9995061026131811
10,3,3,3,1,4.716454895969946e-06,0.9997853805457265
10,4,3,3,1,4.276318122720113e-06,0.999387135190412
20,0,3,3,1,1.555580092826858e-05,0.9989450604708727
20,1,3,3,1,3.5713612760446267e-06,0.9995654965481482
20,2,3,3,1,4.304714366298867e-06,0.9996184375414179
20,3,3,3,1,5.746849637944251e-06,0.9994608071471048
20,4,3,3,1,1.0082976587000303e-05,0.9991302183590645
50,0,3,2,0,166564.875,-3.3545259885437978e-06
50,1,3,3,1,0.0016025120858103037,0.9546003956732548
50,2,3,3,1,0.004225810989737511,0.9319057068595094
50,3,3,3,1,0.006289772689342499,0.9270463148651507
50,4,3,3,1,0.001585146295838058,0.9618527939743247
