dataset_name,model_name,activation,num_clients,clients_per_round,num_rounds,local_epochs,batch_size,client_lr,use_dp,dp_sigma,dp_clip,attack_iterations,attack_lr,attack_distance,secret_index,seed,noniid_alpha,secret_pos,test_loss,test_acc,attack_mse,attack_ssim
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,False,0.0,1.0,100,1.0,l2,7,0,,0,13.228685009765625,0.101,1.5558406403215486e-06,0.9998851583516302
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,False,0.0,1.0,100,1.0,l2,7,1,,0,11.909289846801757,0.101,5.756339760409901e-07,0.9999112595211376
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,False,0.0,1.0,100,1.0,l2,7,2,,0,12.215744352722169,0.101,1.995473212446086e-06,0.9998472069413209
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.01,1.0,100,1.0,l2,7,0,,0,2.4431765003204347,0.101,5244.31494140625,-1.4064419725923107e-05
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.01,1.0,100,1.0,l2,7,1,,0,2.4679262073516846,0.101,597.5145263671875,-9.112543209428945e-05
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.01,1.0,100,1.0,l2,7,2,,0,2.363357434844971,0.101,1.1596198081970215,0.0066833007850961215
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.05,1.0,100,1.0,l2,7,0,,0,2.4413031795501707,0.101,2322.322265625,-4.049556005114198e-05
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.05,1.0,100,1.0,l2,7,1,,0,2.465935945892334,0.101,991193.3125,-4.918938267356306e-07
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.05,1.0,100,1.0,l2,7,2,,0,2.3643655937194823,0.101,110324.390625,9.353943842006175e-08
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.1,1.0,100,1.0,l2,7,0,,0,2.4403038692474364,0.101,25.060945510864258,0.0026470438462521404
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.1,1.0,100,1.0,l2,7,1,,0,2.464313150405884,0.101,1163.7972412109375,-9.459802708157196e-05
MNIST,LeNet,sigmoid,1,1,1,1,1,0.1,True,0.1,1.0,100,1.0,l2,7,2,,0,2.367466967010498,0.101,104158.0703125,6.842388384259247e-07
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,False,0.0,1.0,100,1.0,l2,7,0,,3,3.5986219810485838,0.1135,0.08644679933786392,0.3347146542849951
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,False,0.0,1.0,100,1.0,l2,7,1,,0,3.4132801692962644,0.098,4255.619140625,-2.8101378004357464e-05
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,False,0.0,1.0,100,1.0,l2,7,2,,2,5.645226766967774,0.101,0.06055077910423279,0.47746503813605834
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.01,1.0,100,1.0,l2,7,0,,3,2.387846292114258,0.0974,629827.8125,7.587311405903965e-07
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.01,1.0,100,1.0,l2,7,1,,0,2.3590559825897217,0.101,21737260.0,-3.743819493193876e-08
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.01,1.0,100,1.0,l2,7,2,,2,2.3471470302581787,0.101,704535.125,-1.8957049132606444e-07
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.05,1.0,100,1.0,l2,7,0,,3,2.3902018508911134,0.0974,4649772.5,1.1687929883119234e-07
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.05,1.0,100,1.0,l2,7,1,,0,2.35348669128418,0.101,6099347963904.0,2.6604765567863547e-13
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.05,1.0,100,1.0,l2,7,2,,2,2.3471034927368164,0.101,1228.3408203125,8.491659494745442e-05
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.1,1.0,100,1.0,l2,7,0,,3,2.395042381668091,0.0974,185.62156677246094,0.00022271259932921122
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.1,1.0,100,1.0,l2,7,1,,0,2.347267322921753,0.101,294.0967712402344,-6.453494900173255e-06
MNIST,LeNet,sigmoid,1,1,1,1,4,0.1,True,0.1,1.0,100,1.0,l2,7,2,,2,2.3484484588623045,0.101,2194.524658203125,2.923763516700509e-05
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,False,0.0,1.0,100,1.0,l2,7,0,,3,4.051934477996826,0.0974,6402701824.0,-9.403954983557881e-11
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,False,0.0,1.0,100,1.0,l2,7,1,,0,3.071904479598999,0.0868,1633.54736328125,-0.00013708472402886398
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,False,0.0,1.0,100,1.0,l2,7,2,,5,4.1698877754211425,0.0982,1015.206787109375,-0.00013254569738737037
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.01,1.0,100,1.0,l2,7,0,,3,2.4264317363739014,0.0974,1570.4317626953125,-0.00011404178641976319
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.01,1.0,100,1.0,l2,7,1,,0,2.356763009643555,0.1135,796.0836791992188,-0.0001050681172050685
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.01,1.0,100,1.0,l2,7,2,,5,2.4136982818603516,0.0982,5828522.0,-4.6994601152452424e-08
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.05,1.0,100,1.0,l2,7,0,,3,2.446122049331665,0.0974,5.421515464782715,0.007456329062475891
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.05,1.0,100,1.0,l2,7,1,,0,2.3595475708007814,0.1135,841.1111450195312,-8.924157837748497e-05
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.05,1.0,100,1.0,l2,7,2,,5,2.4174865741729734,0.0982,81898936.0,-1.0959809278285785e-09
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.1,1.0,100,1.0,l2,7,0,,3,2.474895015335083,0.0974,1784.9254150390625,4.882970088584644e-05
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.1,1.0,100,1.0,l2,7,1,,0,2.3665108905792236,0.1135,5735.25,-1.1869667551821444e-05
MNIST,LeNet,sigmoid,1,1,1,1,8,0.1,True,0.1,1.0,100,1.0,l2,7,2,,5,2.425174722290039,0.0892,7375112.0,-2.6402305518808556e-10
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,False,0.0,1.0,100,1.0,l2,7,0,,2,3.426678314590454,0.0958,104395276288.0,2.2625163396214873e-11
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,False,0.0,1.0,100,1.0,l2,7,1,,14,2.6809188175201415,0.1135,1523.948974609375,-5.2900322238610664e-05
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,False,0.0,1.0,100,1.0,l2,7,2,,2,3.140923537826538,0.1032,3218921984.0,1.3015732495495443e-10
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.01,1.0,100,1.0,l2,7,0,,2,2.380041817855835,0.0958,1.1608452796936035,0.005718906918642965
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.01,1.0,100,1.0,l2,7,1,,14,2.385372053527832,0.1135,9945097.0,-2.7817690948323187e-08
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.01,1.0,100,1.0,l2,7,2,,2,2.3591262401580813,0.0982,1626.9842529296875,-6.779396562555996e-05
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.05,1.0,100,1.0,l2,7,0,,2,2.3828157863616943,0.0958,1699347.625,1.894095832882007e-07
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.05,1.0,100,1.0,l2,7,1,,14,2.3761911464691163,0.1135,27.644895553588867,0.0008637025843448051
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.05,1.0,100,1.0,l2,7,2,,2,2.3573133403778077,0.1032,692893.875,-6.599527875017297e-07
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.1,1.0,100,1.0,l2,7,0,,2,2.388721170806885,0.0958,2613.267578125,4.344890604622088e-05
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.1,1.0,100,1.0,l2,7,1,,14,2.367180916976929,0.1135,449220736.0,-4.609269679817873e-09
MNIST,LeNet,sigmoid,1,1,1,1,16,0.1,True,0.1,1.0,100,1.0,l2,7,2,,2,2.3574331130981445,0.1032,1965.294189453125,-7.575736016425053e-05
